date,AGG,EFA,GLD,QQQ,SPY,TIP,TLT,VNQ
2015-10-31,0.0007,0.0661,0.0228,0.1137,0.0851,0.003,-0.0041,0.0576
2015-11-30,-0.0039,-0.0075,-0.0675,0.0061,0.0037,-0.0014,-0.0087,-0.0063
2015-12-31,-0.0019,-0.0233,-0.0045,-0.0159,-0.0173,-0.0101,-0.003,0.0183
2016-01-31,0.0124,-0.0552,0.0541,-0.0691,-0.0498,0.0157,0.0557,-0.0344
2016-02-29,0.0089,-0.0333,0.1093,-0.0157,-0.0008,0.0122,0.0309,-0.0036
2016-03-31,0.0087,0.0658,-0.0084,0.0685,0.0673,0.0167,-0.0009,0.1047
2016-04-30,0.0025,0.0222,0.0511,-0.0319,0.0039,0.0021,-0.0074,-0.0235
2016-05-31,0.0001,-0.0009,-0.0614,0.0437,0.017,-0.0064,0.0081,0.0225
2016-06-30,0.0194,-0.0242,0.0897,-0.0228,0.0035,0.0225,0.0693,0.0693
2016-07-31,0.0054,0.0398,0.0198,0.0715,0.0365,0.0064,0.021,0.0426
2016-08-31,-0.0022,0.0053,-0.0326,0.0105,0.0012,-0.0034,-0.0101,-0.0376
2016-09-30,0.0005,0.0134,0.0069,0.0221,0.0001,0.0075,-0.0151,-0.0183
2016-10-31,-0.0082,-0.0222,-0.0294,-0.0146,-0.0173,-0.0054,-0.0438,-0.0574
2016-11-30,-0.0257,-0.0178,-0.0836,0.0044,0.0368,-0.0207,-0.0821,-0.0168
2016-12-31,0.0025,0.0271,-0.0191,0.0113,0.0203,-0.0004,-0.0046,0.0482
2017-01-31,0.0021,0.0329,0.0542,0.0514,0.0179,0.0089,0.0081,-0.0019
2017-02-28,0.0065,0.0119,0.0318,0.0437,0.0393,0.0041,0.0158,0.0351
2017-03-31,-0.0006,0.0323,-0.0043,0.0203,0.0012,0.0,-0.0066,-0.0242
2017-04-30,0.0091,0.0242,0.0173,0.0273,0.0099,0.0045,0.0157,0.0024
2017-05-31,0.0069,0.0354,-0.0012,0.039,0.0141,-0.0004,0.0189,-0.0072
2017-06-30,-0.0002,0.003,-0.0216,-0.0232,0.0064,-0.0087,0.0079,0.0223
2017-07-31,0.0033,0.0265,0.0231,0.0406,0.0206,0.0046,-0.0066,0.0124
2017-08-31,0.0094,-0.0004,0.042,0.0207,0.0029,0.0104,0.0341,-0.0026
2017-09-30,-0.0057,0.0236,-0.0337,-0.003,0.0201,-0.007,-0.0232,-0.0011
2017-10-31,0.001,0.0168,-0.0075,0.0461,0.0236,0.0024,-0.0004,-0.0107
2017-11-30,-0.0015,0.0069,0.0036,0.0197,0.0306,0.0009,0.0074,0.0266
2017-12-31,0.0048,0.0135,0.0211,0.006,0.0121,0.0094,0.0181,-0.0015
2018-01-31,-0.0113,0.0502,0.0323,0.0876,0.0564,-0.0085,-0.0326,-0.0425
2018-02-28,-0.0101,-0.0483,-0.0208,-0.0129,-0.0364,-0.0103,-0.0304,-0.0768
